,Source,Text,Category,Date,Explanation,Label
0,Philip Van Cleave,"U.S. and Virginia murders are ""usually gangbangers killing gangbangers.""",Virginia,"Thursday, January 9th, 2020",No evidence,False
1,Facebook posts,Says guns are required to be registered.,Facebook fact-checks,"Wednesday, January 8th, 2020","No national gun registry, few states require registration",Mostly False
2,Facebook posts,Says a video shows Iranian rockets being launched toward a U.S. air base in Iraq.,Facebook fact-checks,"Wednesday, January 8th, 2020",It's at least a year old,False
3,Viral image,"A man at ""the storming of the U.S. embassy"" in Iraq visited the White House in 2011.",Facebook fact-checks,"Wednesday, January 8th, 2020",He accompanied the Iraqi prime minister,True
4,Facebook posts,Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.,Facebook fact-checks,"Wednesday, January 8th, 2020",Beware of false images and videos,False
5,Facebook posts,Says a series of photos show Iranian rockets being launched toward U.S. air bases in Iraq.,Facebook fact-checks,"Wednesday, January 8th, 2020",Images show three old strikes,False
6,@thesavoyshow,Says a video shows Iranian rockets being launched toward U.S. airbases in Iraq.,Facebook fact-checks,"Wednesday, January 8th, 2020",Video shows 2018 strike,False
7,Facebook posts,"""Abolishing the Electoral College would make Los Angeles County stronger than 43 states.""",Facebook fact-checks,"Wednesday, January 8th, 2020",Each vote would count equally,False
8,Viral image,"Says a photo that shows a group of dead, scorched sheep is from Australia wildfires.",Facebook fact-checks,"Tuesday, January 7th, 2020",Image is from 2013,Mostly False
9,Viral image,A photo of a horse being pulled through a scorched ranch is from the Australia wildfires.,Facebook fact-checks,"Tuesday, January 7th, 2020",Taken on ranch in Simi Valley,Mostly False
10,Viral image,A photo of a deer standing near a burned down residence is from the Australia wildfires.,Facebook fact-checks,"Tuesday, January 7th, 2020",From November 2018,Mostly False
11,Viral image,A photo of a burned cat is from the Australia wildfires.,Facebook fact-checks,"Tuesday, January 7th, 2020",It was taken in California,Mostly False
12,Facebook posts,A collection of photos shows animals caught in the Australia wildfires.,Facebook fact-checks,"Tuesday, January 7th, 2020",Most aren't even from Australia,Mostly False
13,Paul Gosar,Says a photo shows Barack Obama smiling and shaking hands with Hassan Rouhani.,Facebook fact-checks,"Tuesday, January 7th, 2020",Still doctored,Pants on Fire!
14,Viral image,Says a photo shows Barack Obama looking through binoculars the wrong way.,Facebook fact-checks,"Tuesday, January 7th, 2020",Take a closer look,Pants on Fire!
15,Facebook posts,Says Trump volunteered his airline to bring troops home during Operation Desert Storm.,Facebook fact-checks,"Tuesday, January 7th, 2020",Trump wasn't affiliated,False
16,Facebook posts,"Says Jeff Foxworthy wrote a list of examples explaining how ""you might live in a nation that was founded by geniuses but is run by idiots.""",Facebook fact-checks,"Tuesday, January 7th, 2020",You might have a misattribution if...,False
17,Mike Pence,"Says Qassem Soleimani ""assisted in the clandestine travel to Afghanistan of 10 of the 12 terrorists who carried out the September 11 terrorist attacks in the United States.""",National,"Tuesday, January 7th, 2020",Lacks evidence,False
18,Nikki Haley,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani""",National,"Tuesday, January 7th, 2020",No mourning among top Democrats,Pants on Fire!
19,Facebook posts,"""Iran will be shooting at our soldiers with bullets, etc., purchased with the $150 billion Obama gave them.""",Facebook fact-checks,"Tuesday, January 7th, 2020",High-end estimate of multi-country deal,Mostly False
20,Joe Biden,"Says he did not tell former President Barack Obama ""don’t go"" after Osama bin Laden",National,"Monday, January 6th, 2020",Not the full story,Mostly False
21,Facebook posts,Says an image shows a satellite view of fires in Australia.,Facebook fact-checks,"Monday, January 6th, 2020",It's a composite image,False
22,Mike Pompeo,"""President Trump didn't say he'd go after a cultural site.""",National,"Monday, January 6th, 2020",He said exactly that,False
23,Viral image,"Says a photo shows ""a Trump rally in downtown Philly yesterday.""",Facebook fact-checks,"Monday, January 6th, 2020",Feed the world facts,Pants on Fire!
24,Facebook posts,"Says a photo from JFK airport shows ""our troops leaving to protect each one of us and our country.""",Facebook fact-checks,"Monday, January 6th, 2020",Look for the drill sergeants,False
25,Facebook posts,"Says U.S. Rep. Rashida Tlaib tweeted and then deleted a post that said ""Americans have spent decades raping and pillaging my people. What goes around comes around.""",Facebook fact-checks,"Monday, January 6th, 2020",Tlaib didn't tweet that,Pants on Fire!
26,Frederica Wilson,"Says Betsy DeVos is the ""most unpopular person in our government.""",Florida,"Monday, January 6th, 2020",Not high marks,Mostly True
27,Facebook posts,"""Hillary ignored multiple requests for security, didn’t respond for 13 hours, & let 4 Americans die in Benghazi. Trump rushed in reinforcements, threatened to destroy Iran, & made sure no lives were lost in Baghdad.""",Facebook fact-checks,"Monday, January 6th, 2020",Clinton role was limited,Mostly False
28,Viral image,An image shows animals burning in the Australia wildfires,Facebook fact-checks,"Monday, January 6th, 2020","Animals are in peril, just not this one",Mostly False
29,Facebook posts,"Says the Obamas ""surrendered"" their law licenses to escape disciplinary action and charges.",Facebook fact-checks,"Monday, January 6th, 2020",Nothing fishy here,Pants on Fire!
30,Facebook posts,Says Tom Hanks was photographed wearing a T-shirt with progressive slogans on it.,Facebook fact-checks,"Friday, January 3rd, 2020",Making a soccer statement,Pants on Fire!
31,@mooncult,A video shows Joe Biden making a racist comment.,National,"Friday, January 3rd, 2020",Deceptive editing,False
32,David Crowley,"""Child care costs account for 24% of a WI family’s budget.""",Wisconsin,"Friday, January 3rd, 2020",Child care is not cheap,Mostly True
33,Facebook posts,"An email from Hillary Clinton to Donna Brazile Oct.17th, 2016 stated: ""If that f-----’ bastard wins, we’re all going to hang from nooses! You better fix this s---!""",Facebook fact-checks,"Thursday, January 2nd, 2020",No evidence,Pants on Fire!
34,Bloggers,Says Carol Burnett is dead.,Facebook fact-checks,"Thursday, January 2nd, 2020",Death hoaxes not funny,Pants on Fire!
35,Bloggers,Says Lee Majors died and left $6 million to Donald Trump.,Facebook fact-checks,"Thursday, January 2nd, 2020",Another death hoax,Pants on Fire!
36,Facebook posts,"""Congress rejects $336 (per) month increase in"" Social Security and disability benefits ""but approves $8,872 (per) month increase for themselves.""",Facebook fact-checks,"Thursday, January 2nd, 2020","Congress doesn't control Social Security benefits, hasn't gotten pay raise since 2009",False
37,Bloggers,"Says Alexandria Ocasio-Cortez and Ilhan Omar vowed ""to remove senior’s ‘entitlements,’ Social Security/Medicare.""",Facebook fact-checks,"Thursday, January 2nd, 2020",It's a made-up story,Pants on Fire!
38,Facebook posts,Says a quote defending President Donald Trump can be attributed to Clint Eastwood.,Facebook fact-checks,"Thursday, January 2nd, 2020",Not an Eastwood quote,False
39,PJ Media,"""CBC Cuts Donald Trump's 'Home Alone 2' Cameo Out of Broadcast.""",Facebook fact-checks,"Thursday, January 2nd, 2020",Cut for time,Half-True
40,Facebook posts,"Says Virginia Gov. Ralph Northam said, ‘You will give up your guns, if you don’t I’ll have the National Guard cut your power, your phone lines, and your internet. Then, if you still refuse to comply I’ll have you killed.’""",Facebook fact-checks,"Thursday, January 2nd, 2020",Made-up quote,Pants on Fire!
41,Facebook posts,"""China produces 90% of the world’s carbon emissions pollution.""",Facebook fact-checks,"Thursday, January 2nd, 2020",Blowing smoke,False
42,Bloggers,"""Florida school drops Common Core – soars to number one""",Facebook fact-checks,"Thursday, January 2nd, 2020",Go back to school,False
43,Facebook posts,"Says that four Democrats — Sheila Jackson Lee, Joe Biden, Elizabeth Warren, and Alexandria Ocasio-Cortez — made specific, suspect remarks about such topics as the Constitution, abortion and guns.",Facebook fact-checks,"Thursday, January 2nd, 2020",All fabricated or mangled quotes,False
44,Bloggers,"""Cory Booker’s son charged with assault after attack on Santa.""",Facebook fact-checks,"Thursday, January 2nd, 2020",Worth less than a lump of coal,Pants on Fire!
45,Bloggers,"Says Nancy Pelosi said, if impeachment ""doesn’t go through, I’ll resign.""",Facebook fact-checks,"Thursday, January 2nd, 2020",She didn't say anything like this,Pants on Fire!
46,Eric Schmitt,"""You have literally 140 people dying every day of opioid-related overdoses.""",Missouri,"Monday, December 30th, 2019",Number is off slightly,Mostly True
47,Jeff Jensen,"""It’s nothing I do, but the probation office here in the Eastern District of Missouri is the best in the country. They have about a 7.5% recidivism rate, compared to national averages of 70 or 80%""",Missouri,"Monday, December 30th, 2019",Apples-and-oranges comparison,Half-True
48,Ron Johnson,"The United States is the only nation ""that grants legal permanent residency to more than a million people per year.""",Wisconsin,"Thursday, December 26th, 2019",U.S. outpaces all on granting residency,True
49,Wayne Goodwin,"Says his opponent for NC Insurance Commissioner is a ""perennial candidate"" over 30 years.",North Carolina,"Monday, December 23rd, 2019",6 of 8 elections,Mostly True
50,Sean Casten,"""From 2000 to 2016, every major drug that was introduced came out of"" National Institutes of Health funding.",Illinois,"Sunday, December 22nd, 2019","Right conclusion, wrong date",Half-True
51,New York City Police Benevolent Association,"""Defendants charged with producing, directing or promoting an obscene sexual performance by a child will be arraigned & set free.""",New York,"Sunday, December 22nd, 2019",These defendants don't need bail to stay out of jail,Mostly True
52,Facebook posts,"Says Virginia Gov. Ralph Northam is planning to cut off the electricity ""so Virginia residents cannot reveal what is happening once gun confiscation begins to take place.""",Facebook fact-checks,"Friday, December 20th, 2019",No evidence for conspiracy,Pants on Fire!
53,Bernie Sanders,"""I am very proud that I am the only candidate in the Democratic primary to have voted against all of Trump's defense budgets.""",Vermont,"Friday, December 20th, 2019",Voicing opposition isn't voting,False
54,Joe Biden,"""You have to have congressional authority"" to close Guantanamo Bay prison.",National,"Friday, December 20th, 2019",It certainly helps,Mostly True
